App,Hash,SimiScore,Identical,Similar,New,Deleted
app-1097,2D76DE7D19169F8CA8F93AB8C4EC0759D6002626513F0C3AFECA277DD90792E7,0.99,461,1,1,6
app-2004,46C41BEA823E856915EF2A87D5712B579A1E2CA8DD230A5DA6F5F0DA6D40DDA,0.99,1164,1,1,6
app-1135,0218D0E654A3B816E4EA5B040581C9D3B0BD64ED0D35DAF6BA9A779C958E8F28,0.99,1082,1,1,6
app-2077,07EA86C594599EB9F5C566F8BB35ED9D3566FAC4A7DF216B9070465F962DD001,0.99,2127,1,1,6
app-1381,078E0AE6E398798FBAB485EC894BE593AC2F064A280BAB6EDACC8C7579BBBA70,0.95,134,6,1,10
app-464,5B0C652DFC8B9DBE96F18F729994F3257A930350FD0C0D080184D2405D3DF130,0.99,2642,4,10,1
app-1926,5374927E98A0ED404B4FCBC128D333788F25A234AE8AC27CD58B0BE927D111CB,0.95,134,6,1,10
app-659,17722D98079552D4C2F99434B400A306FCDE0D1BDA8637AA6B180820C94E6678,0.97,265,6,1,10
app-1962,CCD29EC8ED6BFD8D2EA8C95611501FD59BC1BB05F55DF5B725ECCFC8229DA2C1,0.99,436,2,0,0
app-992,010C070CAD502077653BA79B75BD646745C0C6AFC5520BEAEF9EB7F0B3721A07,0.99,2249,3,3,0
app-1256,723C231BA7A6BEA960ECD78063DB5A32834E96DF7B10D1956CD208B1BFAFD4FA,0.98,228,2,1,10
app-2136,92209D0E67CE2C0C7D0393395E9433E36A07C95B475C622E4CD9FFFE087DF8DA,0.99,698,2,3,0
app-1656,2441293F1B092BD11476566AEC678DCC8874766521F226DB5183515FA5486BE7,0.98,123,2,0,11
app-2212,27D5D22419A3FEDD422527F2F4B902423C4456F709EAA6287E160E4A2F1AA41,0.99,612,5,1,10
app-1690,D83F1CEA611F3A0F8E1FCECCA1590AF59C5B55348D5822777274082833971638,0.94,150,2,6,6
app-2272,00405B66DD11A6F6EC3A68D971A0C5C18D981FBD303C31433634C98C5876D199,0.99,864,2,1,10
app-1749,114C5C8DA67FA372934807368BDDA06B1937B900DFA204A644FB1FC4F664BA2B,0.99,5631,2,9,151
app-683,33896EBEC02963FC5FC24AE0605FB10DBFE9881BE90E849AF6C98293901C03D2,0.99,3205,2,0,0
app-2067,1AE4E8B68CE5C46F35CFE8267ED60901C413E27B7479AAA1297D0D14B3EC4D6F,0.99,3964,2,3,3
